CustomerID,TotalOrders,TotalRevenue,AverageRevenue
11761,8,2568770.1008,321096.2626
12198,5,1894653.6372,378930.72744
13965,9,2657878.7698,295319.863311111
15694,4,780241.8106,195060.45265
16565,6,1793050.4747,298841.745783333
17962,4,996219.5567,249054.889175
18707,7,2155401.8485,307914.549785714
19459,7,1236562.9072,176651.843885714
20807,6,1532681.6828,255446.947133333
22406,9,2896758.3315,321862.036833333
23626,9,1834695.2094,203855.023266667
24575,4,543985.632,135996.408
24635,3,1085968.3535,361989.451166667
24853,8,3111002.2281,388875.2785125
25151,9,3169050.0995,352116.677722222
26871,7,2891473.7205,413067.674357143
28980,9,1984132.8906,220459.210066667
30458,1,898072.5744,898072.5744
33590,5,901759.0375,180351.8075
34840,7,2166878.4755,309554.067928571
36302,4,523126.3219,130781.580475
37204,9,2331804.6064,259089.400711111
37528,7,2023220.055,289031.436428571
37771,13,3772117.1561,290162.858161539
40441,4,662833.0073,165708.251825
41502,12,3209853.3874,267487.782283333
43568,8,2452406.5718,306550.821475
44766,10,3107310.24,310731.024
45175,7,1440781.2659,205825.895128571
45629,9,2007012.847,223001.427444444
46322,6,1508762.9475,251460.49125
51477,4,1368038.2497,342009.562425
52961,5,1579051.1679,315810.23358
56397,6,1891066.0483,315177.674716667
56903,8,1794294.3424,224286.7928
57289,11,2221978.1058,201998.009618182
57382,4,1704870.9315,426217.732875
57858,7,1694637.7332,242091.104742857
58701,4,629773.6765,157443.419125
59832,3,804518.9613,268172.9871
59941,4,1174023.386,293505.8465
68322,7,1482173.2387,211739.0341
68542,12,2006732.1253,167227.677108333
68878,6,1333178.0797,222196.346616667
69572,11,2671027.6015,242820.691045455
70135,11,3068911.9663,278991.996936364
72467,9,1816647.8196,201849.757733333
72699,5,652648.4523,130529.69046
75083,4,1154223.6079,288555.901975
76894,6,1487841.4075,247973.567916667
77100,7,2296324.5273,328046.361042857
78620,8,2466868.5173,308358.5646625
82840,7,862661.6501,123237.378585714
86738,11,1809476.907,164497.900636364
87340,9,2571871.9542,285763.550466667
92672,8,1553941.2455,194242.6556875
97826,5,809972.9783,161994.59566
98671,6,1890395.8031,315065.967183333
10514,8,2398826.8163,299853.3520375
10697,9,817217.8304,90801.9811555556
17970,7,2432261.9163,347465.988042857
18975,10,1661887.0484,166188.70484
19738,5,2098741.0426,419748.20852
20074,8,2681161.2172,335145.15215
22930,6,1076454.4576,179409.076266667
30724,5,308234.0639,61646.81278
32158,3,1030412.4534,343470.8178
33876,4,2137792.8706,534448.21765
34881,4,958847.5741,239711.893525
36428,7,545415.7673,77916.5381857143
41472,8,1905498.5354,238187.316925
42934,2,444456.2675,222228.13375
46094,7,2353786.3727,336255.1961
46381,6,1566258.6923,261043.115383333
47284,6,1203964.3089,200660.71815
47413,6,2225971.3691,370995.228183333
50781,4,1995788.0134,498947.00335
50899,4,1811491.5177,452872.879425
51161,12,3174298.4501,264524.870841667
51460,6,2217839.1702,369639.8617
51474,4,655893.9821,163973.495525
53376,3,705118.8888,235039.6296
55276,4,2019687.8036,504921.9509
55535,8,2678816.8474,334852.105925
55753,4,682890.929,170722.73225
56790,4,431384.4119,107846.102975
58033,4,1110454.2134,277613.55335
64857,6,1175013.1394,195835.523233333
65462,4,1331264.8502,332816.21255
65616,4,630217.5986,157554.39965
66533,3,1466824.1157,488941.3719
70876,5,1096154.7234,219230.94468
70919,12,3381800.8313,281816.735941667
71880,9,3470132.8359,385570.3151
73129,3,908802.4152,302934.1384
74636,4,724438.5083,181109.627075
76539,6,1845530.7032,307588.450533333
81721,4,842624.2088,210656.0522
82141,11,3356448.7312,305131.702836364
82527,5,1439128.9977,287825.79954
83252,5,1135162.2348,227032.44696
83719,5,1030074.4144,206014.88288
85562,9,1888218.0763,209802.008477778
87391,9,2517404.1303,279711.570033333
88111,5,1309074.9867,261814.99734
88846,4,1265456.7299,316364.182475
89230,9,3184874.0026,353874.889177778
89920,2,224925.9798,112462.9899
94065,6,628453.935,104742.3225
95622,8,1818519.9593,227314.9949125
96160,4,1003717.5724,250929.3931
98986,5,1187673.88,237534.776
10430,9,2558292.5884,284254.732044445
15055,4,1360130.4244,340032.6061
16305,3,109157.948,36385.9826666667
18271,5,620589.6422,124117.92844
19309,10,3283851.0204,328385.10204
22607,5,1230871.75,246174.35
24218,2,514669.45,257334.725
25347,11,2399365.3917,218124.126518182
25562,6,1272722.9903,212120.498383333
27300,5,1193461.1306,238692.22612
27982,8,2422634.0081,302829.2510125
28468,6,824540.1601,137423.360016667
28662,9,2411747.3367,267971.9263
31482,5,1473436.229,294687.2458
35352,8,1999959.9359,249994.9919875
36513,11,2227698.8144,202518.074036364
36904,7,2291907.6225,327415.374642857
38451,10,2615489.4711,261548.94711
39570,6,1565194.7844,260865.7974
45301,3,145032.0243,48344.0081
46342,5,1388534.6274,277706.92548
46568,8,937636.7495,117204.5936875
49257,7,1231838.2552,175976.8936
50647,10,2459298.2981,245929.82981
51415,6,1374387.1604,229064.526733333
52975,7,1118104.908,159729.272571429
53300,5,841441.2226,168288.24452
53563,7,1342381.4134,191768.773342857
53740,5,1214418.9054,242883.78108
56981,2,253927.5159,126963.75795
58128,11,4606868.5113,418806.2283
60549,3,373572.1556,124524.051866667
61098,3,1306686.7994,435562.266466667
61809,5,2188027.4088,437605.48176
62131,6,813022.2905,135503.715083333
62134,11,3885122.7899,353192.9809
64363,4,593871.207,148467.80175
65400,6,1323742.5582,220623.7597
66769,7,1740064.1107,248580.587242857
66871,2,1121939.1306,560969.5653
68970,10,2945466.3473,294546.63473
71473,8,2886379.2612,360797.40765
71954,7,2016963.4981,288137.642585714
72537,5,443911.1706,88782.23412
72810,7,2841428.8708,405918.410114286
73560,8,2639118.4819,329889.8102375
73911,10,3260221.6114,326022.16114
74516,6,2333880.8586,388980.1431
75178,9,2615562.7685,290618.085388889
77792,8,1073076.0709,134134.5088625
77926,5,1557294.3375,311458.8675
78359,3,894971.3594,298323.786466667
80330,6,1423655.1657,237275.86095
81287,8,2830235.6562,353779.457025
83582,9,2615349.7782,290594.4198
83603,2,996762.2832,498381.1416
86875,5,527690.8996,105538.17992
89484,7,988023.5465,141146.220928571
90582,9,3019221.5975,335469.066388889
91379,12,4317969.8385,359830.819875
97565,6,1365144.6494,227524.108233333
98366,5,630478.6795,126095.7359
12242,9,1632185.6733,181353.9637
13460,5,1571729.07,314345.814
14255,6,1798440.9942,299740.1657
16158,7,2584216.1281,369173.732585714
16287,9,2568798.9016,285422.100177778
16407,8,1477966.658,184745.83225
20439,7,2376912.6606,339558.951514286
21169,5,771389.3166,154277.86332
21510,5,2060242.2452,412048.44904
24630,9,998901.4822,110989.053577778
25263,6,1482819.4736,247136.578933333
25383,10,2483889.7084,248388.97084
25474,5,981351.4048,196270.28096
25551,8,2297262.0992,287157.7624
26325,8,2256372.0206,282046.502575
27225,3,1107090.7562,369030.252066667
27793,5,1488189.2977,297637.85954
27913,7,1833628.7348,261946.962114286
28664,11,3065376.3771,278670.579736364
30084,5,1387972.1744,277594.43488
33165,3,1401436.8657,467145.6219
33372,7,1145142.451,163591.778714286
34709,5,2368818.2721,473763.65442
34789,8,1639698.8956,204962.36195
38553,8,2790717.523,348839.690375
40534,9,2322698.0438,258077.560422222
43505,7,2020235.4369,288605.062414286
47390,6,1552435.6524,258739.2754
49119,4,849612.8538,212403.21345
